filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,asm_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,asm_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,asm_B,entropy_B
Copy of 0_1757491332_0_1_0.jpg,166.60442708333332,166.60442708333332,166.60442708333332,0.3844804042543751,0.31010062151304185,0.8521520990569127,0.2240831837783026,0.9799565081366626,0.05030971287232766,19.264710201022936,0.3844804042543751,0.31010062151304185,0.8521520990569127,0.2240831837783026,0.9799565081366626,0.05030971287232766,19.264710201022936,0.3844804042543751,0.31010062151304185,0.8521520990569127,0.2240831837783026,0.9799565081366626,0.05030971287232766,19.264710201022936
Copy of 0_1757491328_0_1_0.jpg,167.041552734375,167.041552734375,167.041552734375,0.3920545580152802,0.3170642955316565,0.8487488963342398,0.22370138509265797,0.9794047252432939,0.0501431388186368,19.28842303357793,0.3920545580152802,0.3170642955316565,0.8487488963342398,0.22370138509265797,0.9794047252432939,0.0501431388186368,19.28842303357793,0.3920545580152802,0.3170642955316565,0.8487488963342398,0.22370138509265797,0.9794047252432939,0.0501431388186368,19.28842303357793
Copy of 0_1757491324_0_1_0.jpg,166.84100260416668,166.84100260416668,166.84100260416668,0.39182186498086546,0.3155127292863926,0.8496495875989158,0.22353060104615613,0.9795293313075941,0.050065828667797754,19.305086955238153,0.39182186498086546,0.3155127292863926,0.8496495875989158,0.22353060104615613,0.9795293313075941,0.050065828667797754,19.305086955238153,0.39182186498086546,0.3155127292863926,0.8496495875989158,0.22353060104615613,0.9795293313075941,0.050065828667797754,19.305086955238153
Copy of 0_1757491341_0_1_0.jpg,164.761083984375,164.761083984375,164.761083984375,0.3959349059664762,0.319378750453992,0.8477491701190297,0.2214465869836943,0.979621858675688,0.04914236250803958,19.398755962165225,0.3959349059664762,0.319378750453992,0.8477491701190297,0.2214465869836943,0.979621858675688,0.04914236250803958,19.398755962165225,0.3959349059664762,0.319378750453992,0.8477491701190297,0.2214465869836943,0.979621858675688,0.04914236250803958,19.398755962165225
Copy of 0_1757491325_0_1_0.jpg,166.51772135416667,166.51772135416667,166.51772135416667,0.3959659264860989,0.3178312629901615,0.8486208326169616,0.22301181011424515,0.9793414816638532,0.04983422035296306,19.331929470092188,0.3959659264860989,0.3178312629901615,0.8486208326169616,0.22301181011424515,0.9793414816638532,0.04983422035296306,19.331929470092188,0.3959659264860989,0.3178312629901615,0.8486208326169616,0.22301181011424515,0.9793414816638532,0.04983422035296306,19.331929470092188
Copy of 0_1757491335_0_1_0.jpg,166.94668294270832,166.94668294270832,166.94668294270832,0.39782796380560487,0.31755587845483163,0.8489863718445618,0.22342738618695615,0.9794355652412394,0.050018642652542925,19.340129947686222,0.39782796380560487,0.31755587845483163,0.8489863718445618,0.22342738618695615,0.9794355652412394,0.050018642652542925,19.340129947686222,0.39782796380560487,0.31755587845483163,0.8489863718445618,0.22342738618695615,0.9794355652412394,0.050018642652542925,19.340129947686222
Copy of 0_1757491330_0_1_0.jpg,167.29137369791667,167.29137369791667,167.29137369791667,0.3953533537520841,0.317106205563914,0.8490412153967245,0.22368338298637855,0.9792239510302968,0.05013618470718263,19.303987046270894,0.3953533537520841,0.317106205563914,0.8490412153967245,0.22368338298637855,0.9792239510302968,0.05013618470718263,19.303987046270894,0.3953533537520841,0.317106205563914,0.8490412153967245,0.22368338298637855,0.9792239510302968,0.05013618470718263,19.303987046270894
Copy of 0_1757491327_0_1_0.jpg,167.4866796875,167.4866796875,167.4866796875,0.39793396532835,0.3183069042930357,0.8485488743462335,0.2239790100343621,0.9790654349825128,0.05026778763189473,19.29106617331422,0.39793396532835,0.3183069042930357,0.8485488743462335,0.2239790100343621,0.9790654349825128,0.05026778763189473,19.29106617331422,0.39793396532835,0.3183069042930357,0.8485488743462335,0.2239790100343621,0.9790654349825128,0.05026778763189473,19.29106617331422
Copy of 0_1757491331_0_1_0.jpg,166.622353515625,166.622353515625,166.622353515625,0.3998164820613932,0.3218040143989662,0.846689072711282,0.22177909940557194,0.9792621127535783,0.04928873916306889,19.387589946233472,0.3998164820613932,0.3218040143989662,0.846689072711282,0.22177909940557194,0.9792621127535783,0.04928873916306889,19.387589946233472,0.3998164820613932,0.3218040143989662,0.846689072711282,0.22177909940557194,0.9792621127535783,0.04928873916306889,19.387589946233472
Copy of 0_1757491334_0_1_0.jpg,166.30633138020832,166.30633138020832,166.30633138020832,0.40249720032578523,0.3210434263111724,0.8473079006574394,0.2223921484859378,0.9792074095514253,0.049559439139054855,19.37624758204625,0.40249720032578523,0.3210434263111724,0.8473079006574394,0.2223921484859378,0.9792074095514253,0.049559439139054855,19.37624758204625,0.40249720032578523,0.3210434263111724,0.8473079006574394,0.2223921484859378,0.9792074095514253,0.049559439139054855,19.37624758204625
Copy of 0_1757491338_0_1_0.jpg,164.86807942708333,164.86807942708333,164.86807942708333,0.3833284364984267,0.31068073203049174,0.851708305072039,0.22330857791205247,0.9801144345180679,0.049967412731889864,19.296513345257047,0.3833284364984267,0.31068073203049174,0.851708305072039,0.22330857791205247,0.9801144345180679,0.049967412731889864,19.296513345257047,0.3833284364984267,0.31068073203049174,0.851708305072039,0.22330857791205247,0.9801144345180679,0.049967412731889864,19.296513345257047
Copy of 0_1757491346_0_1_0.jpg,164.742490234375,164.742490234375,164.742490234375,0.39090800481190696,0.31602716665822655,0.8492456233495955,0.2224479768624343,0.979553094944009,0.049584240229730694,19.330081611555208,0.39090800481190696,0.31602716665822655,0.8492456233495955,0.2224479768624343,0.979553094944009,0.049584240229730694,19.330081611555208,0.39090800481190696,0.31602716665822655,0.8492456233495955,0.2224479768624343,0.979553094944009,0.049584240229730694,19.330081611555208
Copy of 0_1757491344_0_1_0.jpg,165.5263671875,165.5263671875,165.5263671875,0.3905470330804318,0.3147862493064201,0.849933445954328,0.22312298317087423,0.9795014558512971,0.04988415925306548,19.307082026922682,0.3905470330804318,0.3147862493064201,0.849933445954328,0.22312298317087423,0.9795014558512971,0.04988415925306548,19.307082026922682,0.3905470330804318,0.3147862493064201,0.849933445954328,0.22312298317087423,0.9795014558512971,0.04988415925306548,19.307082026922682
